,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
134,1,0,0,0,0,0,0,0,8,16,1,2,24,26,0,0,0,0,0,2,3,0,1,0,1,4,0
135,1,0,0,0,0,0,0,1,10,16,1,0,26,26,0,0,0,0,1,2,3,0,1,0,1,5,0
136,0,0,0,1,0,0,0,1,9,18,1,0,27,27,0,0,0,0,1,2,3,0,1,0,1,5,0
137,0,0,0,1,0,0,0,1,7,14,1,0,21,21,0,0,0,0,1,1,4,0,1,0,2,5,0
138,0,0,0,5,0,0,0,0,9,13,1,2,22,24,1,0,0,0,1,2,4,0,1,1,2,8,0
139,0,0,0,4,0,0,0,1,7,12,1,0,19,19,0,0,0,0,2,2,3,0,1,0,1,6,0
140,0,0,0,4,0,0,0,1,7,15,1,0,22,22,0,0,0,0,1,1,4,0,1,0,2,5,0
141,0,0,0,1,0,0,0,1,8,17,1,0,25,25,0,0,0,0,1,2,3,0,1,0,1,5,0
142,0,0,0,1,0,0,0,1,8,14,1,0,22,22,0,0,0,0,1,1,4,0,1,0,2,5,0
143,0,0,0,1,0,0,0,1,10,15,1,0,25,25,0,0,0,0,0,2,4,0,1,0,2,5,0
144,0,0,0,1,0,0,0,1,10,18,1,0,28,28,0,0,0,0,1,2,3,0,1,0,1,5,0
145,0,0,0,1,0,0,0,1,7,14,1,1,21,22,0,0,0,0,1,1,5,0,1,0,3,6,0
146,1,0,0,0,0,0,0,0,8,16,1,2,24,26,0,0,0,0,0,2,3,0,1,0,1,4,0
147,1,0,0,222,1,0,0,0,8,16,1,2,24,26,0,0,0,0,0,2,3,0,1,0,1,4,0
148,2,0,0,175,0,0,0,1,13,26,1,0,39,39,0,0,0,0,0,3,4,0,1,0,2,7,0
149,1,0,0,39,0,0,1,1,4,16,1,0,20,20,0,0,0,0,0,3,3,1,1,0,1,5,0
150,1,0,0,39,0,0,0,1,14,30,1,3,44,47,0,0,0,0,0,3,5,0,1,0,3,8,0
151,0,0,0,0,0,1,0,0,9,19,1,21,28,49,0,0,0,0,0,4,5,0,1,0,3,9,0
152,0,0,2,3,2,0,0,0,11,13,1,0,24,24,0,0,0,0,0,1,4,0,1,0,2,4,0
153,0,0,0,0,0,0,0,0,23,48,1,0,74,74,0,0,0,0,1,2,10,0,1,0,8,13,0
154,4,0,0,5,0,0,0,1,12,25,1,24,37,61,0,0,0,0,1,1,5,0,1,0,3,6,0
155,4,0,0,5,0,0,0,1,9,20,1,0,29,29,0,0,0,0,1,1,4,0,1,0,2,5,0
156,1,0,0,6,1,0,0,0,12,37,1,3,49,52,0,0,0,0,0,5,5,1,1,0,3,10,0
157,0,0,0,0,0,0,0,0,27,57,3,0,87,87,1,0,0,0,1,2,11,0,1,2,9,16,0
158,2,0,0,37,1,0,1,0,8,18,1,0,26,26,0,0,0,0,0,3,3,1,1,0,1,6,0
159,2,0,0,37,1,0,0,0,6,17,1,0,23,23,0,0,0,0,0,1,5,0,1,0,3,5,0
160,3,0,0,2,0,0,0,1,16,34,2,0,50,50,0,0,0,0,0,3,3,0,1,0,1,6,0
161,1,0,0,6,1,0,0,1,7,24,1,4,31,35,0,0,0,0,2,3,3,0,1,0,1,8,0
162,1,0,0,2,0,0,0,1,20,46,1,3,66,69,0,0,0,0,5,3,4,0,1,0,2,12,0
163,0,0,0,0,0,0,0,0,20,37,1,15,57,72,0,0,0,0,0,3,5,0,1,0,3,8,0
164,0,0,0,0,0,0,0,0,16,40,1,11,56,67,0,0,0,0,0,3,5,0,1,0,3,8,0
165,1,0,0,2,0,0,0,0,14,25,1,10,39,49,0,0,0,0,2,3,3,0,1,0,1,8,0
166,1,0,0,3,5,0,1,1,12,32,1,3,51,54,0,0,0,0,1,2,5,1,1,0,3,8,0
167,1,0,0,15,5,0,1,1,11,30,1,3,48,51,0,0,0,0,0,2,5,1,1,0,3,7,0
168,1,0,1,1,1,0,0,1,33,74,1,10,107,117,0,0,0,0,18,4,4,0,1,0,2,26,0
169,0,0,0,0,0,0,0,1,15,31,2,11,62,73,1,0,0,0,0,3,4,1,1,1,2,10,0
170,1,0,0,1,0,0,0,0,24,40,3,18,75,93,1,0,1,0,1,3,6,0,1,1,4,14,0
171,1,0,0,1,0,0,0,0,13,32,1,0,45,45,0,0,0,0,0,3,3,0,1,0,1,6,0
172,1,0,0,3,5,0,0,0,10,24,1,5,41,46,0,0,0,0,1,1,4,0,1,0,2,6,0
173,1,0,0,0,0,0,0,1,14,26,1,9,50,59,1,0,0,0,1,2,6,0,1,0,4,10,0
174,1,0,0,0,0,0,0,1,14,26,1,9,50,59,1,0,0,0,1,2,6,0,1,0,4,10,0
175,1,0,0,15,5,0,0,0,9,22,1,5,38,43,0,0,0,0,0,1,4,0,1,0,2,5,0
176,0,0,0,1,0,0,0,0,21,35,2,18,56,74,1,0,0,0,10,2,4,0,1,0,2,16,0
177,0,0,2,5,2,0,0,0,13,38,1,6,52,58,0,0,0,0,0,1,8,0,1,3,6,8,0
178,1,0,0,0,0,0,0,0,10,22,1,0,33,33,0,0,0,0,0,1,5,0,1,0,3,5,0
179,1,0,0,0,0,0,0,1,17,30,1,0,52,52,0,0,0,0,0,4,6,0,1,0,4,10,0
180,1,0,2,65,2,0,0,1,14,22,4,4,36,40,0,0,2,0,0,1,4,0,1,0,2,8,0
181,0,0,0,3,0,0,0,1,4,22,1,3,27,30,0,0,0,0,0,2,4,0,1,0,2,6,0
182,0,0,0,3,0,0,0,1,11,20,1,1,34,35,0,0,0,0,0,2,4,0,1,0,2,6,0
183,0,0,0,2,0,0,0,1,9,22,1,0,31,31,0,0,0,0,0,2,2,0,1,0,0,4,0
184,1,0,0,5,0,0,0,1,28,58,2,2,86,88,0,0,1,0,2,1,9,0,1,0,7,12,0
185,0,0,0,0,0,0,1,1,5,21,1,0,26,26,0,0,0,0,0,2,3,1,1,0,1,5,0
186,0,0,0,0,0,0,1,1,21,50,3,9,86,95,1,0,0,0,1,5,6,1,1,2,4,17,0
187,1,0,0,6,0,0,0,1,13,22,1,0,37,37,1,0,0,0,1,1,3,0,1,0,1,5,0
188,1,0,0,6,0,0,0,1,6,15,1,0,21,21,0,0,0,0,0,1,3,0,1,0,1,3,0
189,1,0,0,1,0,0,0,1,11,24,1,8,35,43,0,0,0,0,2,3,4,0,1,0,2,8,0
190,0,0,0,10,0,0,0,1,1,13,1,5,14,19,0,0,0,0,2,1,3,0,1,0,1,5,0
191,0,0,0,10,0,0,0,0,1,12,1,5,13,18,0,0,0,0,2,1,2,0,1,0,0,5,0
192,0,0,0,5,0,0,0,0,16,31,4,4,47,51,1,0,0,0,1,2,5,0,1,0,3,9,0
193,0,0,0,0,0,0,0,1,16,29,2,11,59,70,1,0,0,0,0,3,4,0,1,1,2,10,0
194,0,0,0,0,0,0,0,1,12,17,1,0,29,29,0,0,0,0,1,2,4,0,1,0,2,7,0
195,0,0,0,0,0,0,1,1,4,25,1,4,29,33,0,0,0,0,0,2,5,1,1,0,3,6,0
196,1,0,0,0,0,0,0,0,15,29,1,0,44,44,0,0,0,0,0,3,5,0,1,0,3,8,0
197,0,0,0,0,0,0,0,0,7,17,1,0,24,24,0,0,0,0,0,1,4,0,1,0,2,4,0
