,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
152,2,0,0,77,0,0,1,1,8,20,1,0,28,28,0,0,0,0,0,2,2,1,1,0,0,4,1
153,0,0,0,0,0,0,1,1,3,15,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
154,4,0,0,29,0,0,1,1,8,19,1,0,27,27,0,0,0,0,1,2,2,1,1,0,0,5,1
155,3,0,3,225,5,0,1,1,7,19,1,0,26,26,0,0,0,0,0,2,2,1,1,0,0,4,1
156,0,0,0,0,0,0,1,1,3,13,1,1,16,17,0,0,0,0,0,2,2,1,1,0,0,4,1
157,0,0,0,80,0,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
158,2,0,1,33,1,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
159,2,0,4,143,12,0,1,1,4,15,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
160,2,0,0,21,0,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
161,5,0,0,89,0,0,1,1,4,12,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
162,0,0,0,0,0,0,1,1,12,22,1,0,34,34,0,0,0,0,0,2,2,1,1,0,0,4,1
163,0,0,0,0,0,0,1,1,7,17,1,0,24,24,0,0,0,0,0,2,2,1,1,0,0,4,1
164,0,0,0,19,0,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
165,3,0,3,83,3,0,1,1,0,14,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
166,3,0,3,197,7,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
167,3,0,1,91,2,0,1,1,3,11,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
168,1,0,0,21,0,0,1,1,4,19,1,0,23,23,0,0,0,0,0,2,2,1,1,0,0,4,1
169,0,0,4,54,7,0,1,1,4,13,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
170,0,0,0,91,0,0,1,1,0,13,1,0,13,13,0,0,0,0,0,2,2,1,1,0,0,4,1
171,0,0,0,4,0,0,1,1,1,13,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
172,2,0,1,20,1,0,1,1,3,11,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
173,0,0,0,34,0,0,1,1,2,14,1,0,16,16,0,0,0,0,0,3,2,1,1,0,0,5,1
174,1,0,0,34,0,0,1,1,8,21,1,0,29,29,0,0,0,0,0,2,2,1,1,0,0,4,1
175,6,0,26,109,28,0,1,1,6,18,1,0,24,24,0,0,0,0,0,2,2,1,1,0,0,4,1
176,1,0,0,3,1,0,1,1,5,13,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
177,1,0,1,734,1,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
178,0,0,3,27,3,0,1,1,3,15,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
179,2,0,6,161,7,0,1,1,4,11,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
180,3,0,0,64,0,0,1,1,2,12,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
181,3,0,3,43,5,0,1,1,4,16,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
182,1,0,6,83,11,0,1,1,7,21,1,0,28,28,0,0,0,0,0,2,2,1,1,0,0,4,1
183,1,0,0,133,0,0,1,1,3,12,1,1,15,16,0,0,0,0,0,2,2,1,1,0,0,4,1
184,5,0,3,133,15,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
185,0,0,0,0,0,0,1,1,1,15,1,0,16,16,0,0,0,0,0,3,2,1,1,0,0,5,1
186,1,0,0,46,0,0,1,1,5,14,1,0,19,19,0,0,0,0,0,3,2,1,1,0,0,5,1
187,0,0,0,0,0,0,1,1,5,15,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
188,3,0,2,235,9,0,1,1,10,23,1,0,33,33,0,0,0,0,0,2,2,1,1,0,0,4,1
189,1,0,0,41,0,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
190,1,0,1,179,1,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
191,2,0,0,16,0,0,1,1,5,14,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
192,3,0,1,175,1,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
193,0,0,0,51,1,0,1,1,3,15,1,2,18,20,0,0,0,0,0,2,2,1,1,0,0,4,1
194,2,0,0,66,0,0,1,1,7,20,1,0,27,27,0,0,0,0,1,2,2,1,1,0,0,5,1
195,2,0,0,10,0,0,1,1,3,11,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
196,0,0,0,0,0,0,1,1,5,16,1,0,21,21,0,0,0,0,1,2,2,1,1,0,0,5,1
197,0,0,0,0,0,0,1,1,5,16,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
198,373,0,1,407,5,0,1,1,9,18,1,0,27,27,0,0,0,0,0,3,2,1,1,0,0,5,1
199,3,0,0,31,0,0,1,1,1,11,1,0,12,12,0,0,0,0,0,2,2,1,1,0,0,4,1
200,0,0,0,2,0,0,1,1,5,23,1,0,28,28,0,0,0,0,0,2,2,1,1,0,0,4,1
201,0,0,2,110,2,0,1,1,4,16,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
202,0,0,0,17,0,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
203,1,0,0,39,0,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
204,0,0,0,0,0,0,1,1,1,11,1,0,12,12,0,0,0,0,0,2,2,1,1,0,0,4,1
205,0,0,0,0,0,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
206,0,0,0,0,0,0,1,1,4,18,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
207,1,0,0,60,0,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
208,0,0,0,0,0,0,1,1,4,13,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
209,0,0,0,18,0,0,1,1,4,12,1,1,16,17,0,0,0,0,0,2,2,1,1,0,0,4,1
210,3,0,0,34,0,0,1,1,2,13,1,0,15,15,0,0,0,0,0,3,2,1,1,0,0,5,1
211,2,0,3,101,4,0,1,1,3,15,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
212,2,0,5,220,9,0,1,1,5,14,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
213,5,0,4,215,14,0,1,1,3,15,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
214,0,0,1,4,1,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
215,2,0,1,141,1,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
216,3,0,0,29,0,0,0,1,2,11,1,0,13,13,0,0,0,0,0,2,2,1,1,0,0,4,1
217,2,0,0,294,0,0,1,1,3,15,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
218,2,0,5,239,5,0,1,1,3,16,1,0,19,19,0,0,0,0,0,3,2,1,1,0,0,5,1
219,3,0,0,321,6,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
220,2,0,7,99,11,0,1,1,3,13,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
221,0,0,0,0,0,0,1,1,3,13,1,2,16,18,0,0,0,0,0,2,2,1,1,0,0,4,1
222,3,0,1,603,5,0,1,1,2,11,1,2,13,15,0,0,0,0,0,2,2,1,1,0,0,4,1
223,0,0,0,2,0,0,1,1,4,17,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
224,1,0,0,23,0,0,1,1,5,14,1,0,19,19,0,0,0,0,0,3,2,1,1,0,0,5,1
225,2,0,3,387,6,0,1,1,5,18,1,0,23,23,0,0,0,0,0,3,2,1,1,0,0,5,1
226,0,0,0,0,0,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
227,0,0,1,83,2,0,1,1,5,15,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
228,3,0,1,194,5,0,1,1,10,22,1,0,32,32,0,0,0,0,1,2,2,1,1,0,0,5,1
229,0,0,0,0,0,0,1,1,6,14,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
230,1,0,0,53,0,0,1,1,7,21,1,0,28,28,0,0,0,0,0,2,2,1,1,0,0,4,1
231,1,0,2,100,2,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
232,2,0,0,25,0,0,1,1,9,20,1,0,29,29,0,0,0,0,0,2,2,1,1,0,0,4,1
233,2,0,0,79,0,0,1,1,1,13,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
